State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Jharkhand,15921, Palamu ,13,0,0,0,363.6929607,385.6351508,60.25984133,41.56,156.46,0,0
Jharkhand,15924, Ranchi ,13,80375,25220,0,26.31756911,24.83024903,6.272332648,33.07,155.04,0,6.56
Jharkhand,15925, Sahibganj ,13,0,0,0,0.212589074,0.516627078,0.047505938,27.76,143.4,0,0
Jharkhand,15926, Saraikela Kharsawan ,8,6244.727,135982,0,0.82326284,0.436178248,1.025302115,0,0,0,0
Jharkhand,15927, Simdega ,24,431532.125,39728,0,0.556395562,3.839897573,0.31496159,0,0,0,0
Karnataka,15928, Bagalkot ,65,339241,43704,0,35168.2415,16956.66194,29283.23806,195.87,675.65,1236.8,95.97
Karnataka,15929, Bangalore Rural ,46,0,0,0,7744.553459,4809.373817,6887.018241,124.54,425.38,766.66,0
Karnataka,15930, Bangalore Urban ,46,0,0,0,22721.56077,7098.782497,24661.07595,124.05,409.5,755.16,0
Karnataka,15931, Belgaum ,60,196281.1,340912.9,78402,78696.56891,37130.12389,35825.47102,100.02,582.84,930,291.24
Karnataka,15932, Bellary ,38,251839.4,62169.6,52464,39313.65132,4159.885287,18944.55278,145.42,389.7,766.33,101.05
Karnataka,15933, Bidar ,49,69542.5,10258.5,7661,7720.946851,5665.641411,10684.33966,100.45,454.8,1071.19,19.85
Karnataka,15934, Bijapur ,46,545312.6,518611.4,200623,44567.36603,36016.10104,17885.53512,134.79,479.99,0,322.43
Karnataka,15934, Bijapur ,46,545312.6,518611.4,200623,44567.36603,36016.10104,17885.53512,134.79,479.99,0,322.43
Karnataka,15935, Chamrajnagar ,52,368730.7,188647.3,92834,24762.52787,6214.056947,4427.212607,69.8,358.47,654.33,154.1
Karnataka,15935, Chamrajnagar ,52,368730.7,188647.3,92834,24762.52787,6214.056947,4427.212607,69.8,358.47,654.33,154.1
Karnataka,15936, Chikmagalur ,89,349811.9,131297.1,32546,2066.961306,494.6256548,20617.75234,83.36,732.2,1100.13,161.1
Karnataka,15937, Chitradurga ,42,280486.4,516617.6,43366,32164.33021,6503.584747,29001.62918,144.75,423.14,782.83,293.15
Karnataka,15938, Dakshin Kannad ,11,152603.9,77534.1,40643,221.7947761,7900.45579,25617.04446,4.45,54.42,57.44,7.23
Karnataka,15939, Davanagere ,42,267323.5,138893.5,111527,26446.59796,2071.57404,33535.77805,85.17,434.83,656.83,156.41
Karnataka,15940, Dharwad ,34,414326.9,129223.1,67567,6537.652216,2008.717698,2937.428045,63.22,343.19,542.11,107.17
Karnataka,15941, Gadag ,64,121285,69166,87071,10583.68903,3709.91769,6045.20167,180.7,666.89,1118.22,165.4
Karnataka,15942, Gulbarga ,74,329782.5,112882.5,88328,14956.60793,10496.58358,5472.259087,172.95,728.99,1595.11,280.21
Karnataka,15943, Hassan ,25,232149.2,358850.8,113892,8879.060934,3936.39093,19467.48784,25.3,178.77,292.36,103.32
Karnataka,15944, Haveri ,44,240490.9,279465.1,78868,21373.75126,7678.26174,11696.48263,112.59,449.32,657.55,204.5
Karnataka,15945, Kodagu ,33,742864.3,614893.7,66492,57.57377049,1,38.83606557,18.82,134.5,199.83,109.97
Karnataka,15946, Kolar ,69,331724.9,180298.1,111382,38212.64008,20594.35698,25606.0753,201.79,622.09,1247.75,318.07
Karnataka,15947, Koppal ,21,300432.7,221566.3,92812,25290.31926,370.0744923,19451.10207,78.26,205.83,427,108.74
Karnataka,15948, Mandya ,30,129792.8,108146.2,90644,10268.01046,3829.623254,13728.90822,109.64,221.19,432.5,77.35
Karnataka,15949, Mysore ,21,262259.2,90545.8,69088,12141.60056,4118.061585,11939.55172,40.52,168.39,268.91,44.45
Karnataka,15950, Raichur ,14,296607.7,142092.3,79010,15466.97225,2733.266085,7317.324567,51.46,143.66,300.61,59.42
Karnataka,15951, Shimoga ,23,233186,84296,71307,10559.69334,132.6756739,11503.66366,22.65,193.72,268.97,40.79
Karnataka,15952, Tumkur ,74,391660,171945,103014,37271.69373,8657.949336,56320.1896,212.78,634.14,1268.27,323.02
Karnataka,15953, Udupi ,18,320396.5,287674.5,89986,13.28740733,6393.704671,13636.025,2.55,27.07,34.04,11.66
Karnataka,15954, Uttar Kannand ,17,206929.2,47225.8,50111,2276.404639,755.864914,8358.30487,20.7,123.98,219.58,21.14
Kerala,15955, Alappuzha ,31,554089,153472,151543,0,0,0,19.2,177.13,111.94,54.78
Kerala,15956, Ernakulam ,27,100189,53072,53279,0,0,0,15.03,149.92,117.75,15.73
Kerala,15957, Idukki ,49,109773.2,20043.8,20593,0,0,0,20.98,117.12,172.86,8.21
Kerala,15958, Kannur ,57,86600,96670,81246,0,0,0,8.94,129.91,101.64,21.59
